"","","","","","#A011000","#A0110001","#A0110002","#A01101","#A01201","#A01202","#A01401","#A01402","#A02101","#A02102","#A02103","#A02104","#A03401","#A03402","#A03403","#A03404","#A0430701","#A0430702","#A0440501","#A0440502","#A0440601","#A0440602","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A0521901","#A0521902","#A05301","#A05302","#A05303","#A05304","#A05305","#A06601","#A06602"
"調査年 コード","調査年","地域 コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A01401_人口集中地区人口比率【％】","#A01402_人口集中地区面積比率【％】","#A02101_人口性比（総数）【‐】","#A02102_人口性比（15歳未満人口）【‐】","#A02103_人口性比（15～64歳人口）【‐】","#A02104_人口性比（65歳以上人口）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A0430701_死別者割合（60歳以上・男）【％】","#A0430702_死別者割合（60歳以上・女）【％】","#A0440501_離別者割合（40～49歳・男）【％】","#A0440502_離別者割合（40～49歳・女）【％】","#A0440601_離別者割合（50～59歳・男）【％】","#A0440602_離別者割合（50～59歳・女）【％】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0～4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A0521901_年齢調整死亡率（男）（人口千人当たり）【‐】","#A0521902_年齢調整死亡率（女）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05304_流入人口比率【％】","#A05305_流出人口比率【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】"
"1975100000","1975年度","12000","千葉県","","415","210","205","3.71","811.2","1,222.4","57.7","9.7","102.0","105.7","103.4","75.4","39.5","9.4","48.9","23.8","15.6","54.0","1.2","2.4","1.2","3.2","5.25","5.62","4.86","2.44","53.02","10.49","6.85","1.87","5.67","3.80","2.13","12.95","8.89","0.95"
"1975100000","1975年度","13000","東京都","","1,167","591","576","10.43","5,441.3","8,631.2","96.6","67.6","102.7","105.3","104.0","79.5","30.7","8.8","39.4","28.5","12.6","52.5","2.0","4.4","2.2","5.3","4.74","5.12","4.34","2.23","46.62","9.48","6.44","-1.10","4.64","5.74","16.94","2.64","9.52","1.24"
"1975100000","1975年度","14000","神奈川県","","640","329","311","5.72","2,676.0","4,382.2","84.4","46.7","105.7","105.5","108.1","78.0","36.9","7.6","44.5","20.7","13.1","53.1","1.6","3.0","1.9","3.9","4.27","4.55","3.98","2.17","47.30","9.47","6.51","0.51","4.72","4.21","2.88","11.15","9.38","1.17"
"1975100000","1975年度","15000","新潟県","","239","116","123","2.14","190.2","500.5","39.8","3.2","94.3","104.7","94.3","73.1","34.7","14.2","49.0","41.0","16.1","53.5","0.8","2.2","0.6","2.5","7.43","8.22","6.68","2.78","52.87","11.03","6.98","-0.33","1.80","2.13","0.08","0.08","7.53","0.69"
"1975100000","1975年度","16000","富山県","","107","51","56","0.96","251.8","568.3","37.6","3.7","92.7","105.7","91.6","72.7","34.1","14.0","48.1","41.1","13.9","58.2","1.2","2.7","0.9","2.6","7.26","7.93","6.63","2.79","51.45","10.57","7.00","-0.14","1.95","2.09","0.22","0.56","7.44","0.91"
"1975100000","1975年度","17000","石川県","","107","52","55","0.96","255.0","808.1","38.0","4.2","94.1","105.1","93.5","73.2","36.2","13.7","49.9","37.9","14.1","58.5","1.4","3.9","1.2","3.5","7.20","7.65","6.79","2.59","53.46","10.59","7.29","0.04","2.39","2.35","0.60","0.24","7.88","1.05"
"1975100000","1975年度","18000","福井県","","77","37","40","0.69","184.7","716.9","37.2","4.3","93.3","104.7","92.1","77.7","35.6","15.3","50.9","42.9","16.1","56.6","1.3","3.4","1.1","3.4","7.61","8.32","6.95","2.99","53.96","10.43","6.88","-0.17","2.06","2.23","0.33","0.51","7.47","0.93"
"1975100000","1975年度","19000","山梨県","","78","38","40","0.70","175.4","691.3","30.8","3.3","93.9","104.9","93.3","75.6","36.3","15.5","51.7","42.7","16.5","52.3","1.1","2.5","1.0","2.6","7.67","8.43","6.94","2.66","52.52","10.36","6.64","-0.34","2.32","2.66","0.55","1.69","7.14","0.84"
"1975100000","1975年度","20000","長野県","","202","97","105","1.80","148.5","585.7","28.8","3.1","93.1","105.0","92.0","76.6","34.7","16.1","50.8","46.4","16.0","50.9","0.8","2.3","0.7","2.7","7.77","8.37","7.22","2.36","52.02","10.00","6.93","-0.20","1.87","2.08","0.17","0.22","7.41","0.71"
"1975100000","1975年度","21000","岐阜県","","187","91","96","1.67","176.3","908.0","36.3","5.1","94.5","104.8","92.3","83.3","37.2","12.9","50.1","34.6","15.9","52.9","1.1","3.0","0.9","3.2","6.91","7.49","6.36","2.88","55.23","10.11","7.45","-0.00","2.41","2.41","1.16","3.80","7.85","0.83"
"1975100000","1975年度","22000","静岡県","","331","163","168","2.96","425.7","1,174.0","48.8","9.3","96.8","105.3","96.3","77.5","37.1","11.7","48.9","31.6","14.9","53.2","1.4","3.2","1.3","3.8","5.98","6.60","5.38","2.46","50.07","9.83","6.37","-0.09","2.44","2.53","0.42","0.64","8.32","1.07"
"1975100000","1975年度","23000","愛知県","","592","297","296","5.29","1,158.4","2,088.2","61.4","18.4","100.3","105.2","100.6","80.2","38.3","9.4","47.7","24.4","14.7","53.2","1.4","3.4","1.5","3.9","5.23","5.57","4.89","2.35","53.18","10.25","7.21","-0.17","2.57","2.74","1.83","0.50","8.81","0.92"
"1975100000","1975年度","24000","三重県","","163","79","84","1.45","281.6","824.0","36.2","5.6","93.9","105.0","92.9","76.8","35.7","14.8","50.5","41.5","15.4","53.5","1.0","2.8","1.0","3.1","7.53","8.24","6.86","2.30","54.14","10.49","6.94","0.03","2.58","2.55","0.65","2.87","7.66","0.76"
"1975100000","1975年度","25000","滋賀県","","99","48","50","0.88","245.4","771.4","24.9","3.2","95.6","105.1","95.5","75.0","36.4","14.0","50.4","38.6","16.2","56.1","1.0","2.2","1.0","2.6","7.41","7.97","6.88","2.75","56.21","10.95","7.18","0.95","3.78","2.84","1.41","5.86","8.38","0.63"
"1975100000","1975年度","26000","京都府","","242","119","123","2.17","525.7","2,120.4","75.4","15.8","96.5","104.9","96.5","77.3","34.0","13.2","47.2","38.8","14.3","54.2","1.6","4.0","1.7","4.5","6.38","6.75","6.01","2.17","49.63","9.74","6.73","0.02","3.34","3.32","5.00","4.03","8.46","0.96"
"1975100000","1975年度","27000","大阪府","","828","413","415","7.40","4,454.9","6,507.4","92.8","57.0","99.7","105.5","99.9","75.5","37.5","8.9","46.4","23.6","14.5","55.4","2.4","4.6","3.0","5.5","4.99","5.43","4.55","2.27","49.02","10.50","7.09","-0.44","3.29","3.73","6.75","2.13","9.02","1.23"
"1975100000","1975年度","28000","兵庫県","","499","245","254","4.46","596.9","1,892.7","69.2","14.7","96.6","105.2","96.3","75.9","36.3","11.7","48.1","32.3","14.6","54.9","1.7","3.6","1.9","4.3","6.10","6.68","5.55","2.32","50.01","10.24","6.74","-0.20","3.03","3.23","2.11","6.42","8.40","1.01"
"1975100000","1975年度","29000","奈良県","","108","52","55","0.96","291.8","1,321.3","43.6","9.0","94.5","105.1","93.8","74.1","36.1","12.7","48.8","35.2","16.6","54.8","1.2","2.9","1.3","3.4","6.55","7.00","6.12","2.34","52.26","10.32","6.98","0.98","4.49","3.51","2.61","13.87","8.06","0.86"
"1975100000","1975年度","30000","和歌山県","","107","52","55","0.96","227.0","970.7","41.8","6.5","93.4","106.2","92.4","75.1","35.5","15.7","51.2","44.3","15.2","55.4","1.8","3.5","1.7","3.9","7.86","8.65","7.12","3.10","52.07","10.44","6.88","-0.31","2.13","2.44","0.99","2.22","7.37","1.03"
"1975100000","1975年度","31000","鳥取県","","58","28","30","0.52","166.5","639.3","26.1","2.8","91.1","105.0","90.3","72.4","33.1","16.7","49.7","50.4","17.0","54.6","1.6","3.9","1.3","4.3","8.43","9.08","7.84","2.94","54.37","10.37","6.75","-0.22","2.89","3.11","0.92","0.61","7.22","0.97"
