"","","","","","#A011000","#A0110001","#A0110002","#A01101","#A01201","#A01202","#A0191001","#A0191002","#A0191003","#A0191004","#A0191005","#A0191006","#A02101","#A02102","#A02103","#A02104","#A03401","#A03402","#A03403","#A03404","#A03501","#A03502","#A03503","#A05101","#A05201","#A05202","#A05203","#A05204","#A0520401","#A0520402","#A05205","#A05218","#A05301","#A05302","#A05303","#A05307","#A05308","#A05309","#A06601","#A06602"
"調査年 コード","調査年","地域 コード","地域","/Ａ　人口・世帯","#A011000_総人口【万人】","#A0110001_総人口（男）【万人】","#A0110002_総人口（女）【万人】","#A01101_全国総人口に占める人口割合【％】","#A01201_総面積１km2当たり人口密度【人】","#A01202_可住地面積１km2当たり人口密度【人】","#A0191001_将来推計人口（2020年）【人】","#A0191002_将来推計人口（2025年）【人】","#A0191003_将来推計人口（2030年）【人】","#A0191004_将来推計人口（2035年）【人】","#A0191005_将来推計人口（2040年）【人】","#A0191006_将来推計人口（2045年）【人】","#A02101_人口性比（総数）【‐】","#A02102_人口性比（15歳未満人口）【‐】","#A02103_人口性比（15～64歳人口）【‐】","#A02104_人口性比（65歳以上人口）【‐】","#A03401_年少人口指数【‐】","#A03402_老年人口指数【‐】","#A03403_従属人口指数【‐】","#A03404_老年化指数【‐】","#A03501_15歳未満人口割合【％】","#A03502_15～64歳人口割合【％】","#A03503_65歳以上人口割合【％】","#A05101_人口増減率【％】","#A05201_自然増減率【％】","#A05202_粗出生率（人口千人当たり）【‐】","#A05203_合計特殊出生率【‐】","#A05204_粗死亡率（人口千人当たり）【‐】","#A0520401_粗死亡率（男）（人口千人当たり）【‐】","#A0520402_粗死亡率（女）（人口千人当たり）【‐】","#A05205_年齢別死亡率（0～4歳）（人口千人当たり）【‐】","#A05218_年齢別死亡率（65歳以上）（人口千人当たり）【‐】","#A05301_転入超過率（日本人移動者）【％】","#A05302_転入率（日本人移動者）【％】","#A05303_転出率（日本人移動者）【％】","#A05307_転入超過率（外国人含む）【％】","#A05308_転入率（外国人含む）【％】","#A05309_転出率（外国人含む）【％】","#A06601_婚姻率（人口千人当たり）【‐】","#A06602_離婚率（人口千人当たり）【‐】"
"2017100000","2017年度","10000","群馬県","","196","97","99","1.55","308.1","859.9","1,926,268","1,865,565","1,796,233","1,719,914","1,637,642","1,552,950","97.6","105.1","106.3","79.4","20.9","49.3","70.2","235.3","12.3","58.7","28.9","-0.36","-0.47","6.78","1.47","11.52","12.11","10.95","0.65","36.18","-0.19","1.34","1.52","-0.09","1.69","1.78","4.25","1.61"
"2017100000","2017年度","11000","埼玉県","","731","365","366","5.77","1,924.8","2,828.2","7,272,830","7,202,953","7,076,167","6,909,319","6,721,414","6,524,800","99.6","105.3","106.5","83.0","19.9","42.1","62.1","211.3","12.3","61.7","26.0","0.29","-0.17","7.26","1.36","9.00","9.81","8.19","0.43","30.68","0.20","2.21","2.01","0.30","2.53","2.23","4.61","1.66"
"2017100000","2017年度","12000","千葉県","","625","310","314","4.93","1,211.0","1,757.3","6,204,651","6,118,170","5,985,915","5,822,882","5,645,611","5,463,363","98.7","105.2","105.5","82.7","19.9","44.5","64.4","224.1","12.1","60.8","27.1","0.16","-0.24","7.05","1.34","9.45","10.31","8.60","0.54","30.95","0.26","2.33","2.07","0.20","2.58","2.38","4.59","1.66"
"2017100000","2017年度","13000","東京都","","1,372","676","696","10.83","6,255.4","9,655.1","13,732,951","13,845,936","13,882,538","13,851,782","13,758,624","13,606,683","97.1","104.5","104.3","76.3","17.1","35.0","52.1","204.9","11.2","65.7","23.0","0.73","-0.05","7.94","1.21","8.49","9.09","7.89","0.46","32.75","0.55","3.06","2.50","0.53","3.31","2.77","6.19","1.68"
"2017100000","2017年度","14000","神奈川県","","916","457","459","7.23","3,790.7","6,226.7","9,141,394","9,069,562","8,933,474","8,750,958","8,541,016","8,312,524","99.5","104.7","107.0","80.7","19.5","39.5","58.9","202.7","12.3","62.9","24.8","0.15","-0.13","7.44","1.34","8.77","9.47","8.08","0.59","31.50","0.14","2.27","2.13","0.19","2.47","2.28","5.05","1.68"
"2017100000","2017年度","15000","新潟県","","227","110","117","1.79","180.1","499.9","2,223,647","2,131,156","2,031,445","1,926,432","1,814,665","1,698,989","93.9","105.4","103.8","75.1","20.5","54.9","75.4","267.5","11.7","57.0","31.3","-0.83","-0.63","6.60","1.41","12.93","13.34","12.55","0.44","37.87","-0.29","0.94","1.23","-0.27","1.01","1.28","3.93","1.28"
"2017100000","2017年度","16000","富山県","","106","51","54","0.83","248.6","573.0","1,034,691","996,442","954,745","910,161","863,342","817,398","93.9","106.7","104.8","74.0","20.7","55.9","76.6","269.4","11.8","56.6","31.6","-0.47","-0.57","6.80","1.55","12.46","12.80","12.17","0.27","36.25","-0.10","1.17","1.27","-0.07","1.30","1.37","4.13","1.32"
"2017100000","2017年度","17000","石川県","","115","56","59","0.91","274.0","824.1","1,133,021","1,104,368","1,070,727","1,032,500","990,439","947,918","94.1","104.2","103.0","74.2","21.6","49.3","70.9","228.3","12.6","58.5","28.8","-0.35","-0.35","7.58","1.54","11.10","11.36","10.85","0.44","35.09","-0.05","1.56","1.61","-0.06","1.70","1.76","4.51","1.34"
"2017100000","2017年度","18000","福井県","","78","38","40","0.61","185.9","723.1","764,081","737,898","709,753","679,595","647,241","614,144","94.3","106.1","102.7","75.8","22.6","52.0","74.7","229.7","12.9","57.3","29.8","-0.38","-0.45","7.52","1.62","12.00","12.36","11.66","0.53","37.32","-0.19","1.12","1.32","-0.19","1.29","1.48","4.34","1.39"
"2017100000","2017年度","19000","山梨県","","82","40","42","0.65","184.3","862.3","800,729","763,274","724,352","683,945","641,932","598,935","95.7","106.3","104.7","77.5","20.7","51.1","71.8","247.5","12.0","58.2","29.8","-0.84","-0.48","6.93","1.50","11.76","12.17","11.34","0.50","36.02","-0.33","1.49","1.82","-0.39","1.65","2.05","4.39","1.67"
